PickupDropPointName,Latitude,Longitude,LocalityName,StatusCode
Bus - Mundhwa,18.534273,73.933312,,Active
Kalewadi - Jyotiba Garden (S),18.620756,73.789895,Kalewadi - Jyotiba Garden (S),Active
Hingane Home Colony Corner (L),18.488471,73.813854,Hingane Home Colony Corner (L),Active
Kiwale - Mukai Chowk (S),18.6607,73.7321,Kiwale - Mukai Chowk (S),Active
Bus - Mukai Chowk,18.660367,73.731872,Kiwale - Mukai Chowk (S),Active
Bus - Vimal Garden,18.603495,73.791158,Rahatani - LIC office (S),Active
Bus - Nakhate Vasti,18.604736,73.787167,Rahatani - LIC office (S),Active
Bus - Rahatni LIC Office,18.6027314268239,73.7960830892757,Rahatani - LIC office (S),Active
Rahatani - LIC office (S),18.60271,73.796271,Rahatani - LIC office (S),Active
Warje - Vinayak Hospital (L),18.485969,73.796651,Warje - Vinayak Hospital (L),Active
Warje Left- Mai Mangeshkar Hospital (L),18.485187,73.799754,Mai Mangeshkar Hospital (L),Active
Mai Mangeshkar Hospital (L),18.485187,73.799754,Mai Mangeshkar Hospital (L),Active
Hinjewadi- Andhra Mess (S),18.582765,73.739603,Hinjewadi - Andhra Mess (S),Active
Hinjewadi - Andhra Mess (S),18.588809,73.738668,Hinjewadi - Andhra Mess (S),Active
Narhe - Navale Bridge-Zeal college(L),18.451277,73.830552,Narhe- Zeal College(L),Active
Narhe- Zeal College(L),18.446478,73.826456,Narhe- Zeal College(L),Active
Bus - Amit Bloomfield,18.454626,73.827437,Narhe- Zeal College(L),Active
Tathawade -SHANI MANDIR (S),18.608330,73.750833,Tathawade -SHANI MANDIR (S),Active
Bus - Indira College,18.6118131,73.7498844,Tathawade -SHANI MANDIR (S),Active
"Bus - Sun City, Highway",18.4734146,73.8104755,VadgaonBudruk-DeccanPavilion-L,Active
VadgaonBudruk-DeccanPavilion-L,18.459290,73.825047,VadgaonBudruk-DeccanPavilion-L,Active
Bus - Sahawas Soc,18.4945998432,73.8183719852,Karve Nagar Chowk (L),Active
Karve Nagar Chowk (L),18.489099,73.814366,Karve Nagar Chowk (L),Active
Hinjewadi-BeverlyHills Gate(S),18.595893,73.740474,Hinjewadi-BeverlyHills Gate(S),Active
Bus - Kasturi chowk,18.599586,73.744739,Hinjewadi-BeverlyHills Gate(S),Active
Bus - Camellia Apartments,18.551332,73.791583,Baner - Pashan Link Road (S),Active
Bus - Rolling Hills,18.551914,73.794376,Baner - Pashan Link Road (S),Active
Baner Kapil Malhar (S),18.559792,73.791540,Baner - Pashan Link Road (S),Active
Baner - Pashan Link Road (S),18.547833,73.791048,Baner - Pashan Link Road (S),Active
Sinhgad Road - Rajaram Briedge Venky's Corner (L),18.4879,73.829,SinhgadRoad-Rajaram Briedge(L),Active
SinhgadRoad-Rajaram Briedge(L),18.487898,73.829112,SinhgadRoad-Rajaram Briedge(L),Active
Bus - Prayeja City,18.467372,73.814221,SinhgadRoad-Rajaram Briedge(L),Active
Kharadi Corporation Bank (L),18.540761,73.935111,Kharadi Corporation Bank (L),Active
Kharadi    - Kharadi Corporation Bank (L),18.5409,73.935,Kharadi Corporation Bank (L),Active
PG-Ramkrishna Mangal Hall (M),18.5848,73.8222,PG-Ramkrishna Mangal Hall (M),Active
Bus - ST Thomas Church (Trimurti chowk),18.582942,73.824563,PG-Ramkrishna Mangal Hall (M),Active
Bus - Ramkrishna Mangal Karyalaya,18.585598,73.821928,PG-Ramkrishna Mangal Hall (M),Active
Bus - Ganpati Chowk,18.567467,73.918489,VimanNagar-HotelShriKrishna(L),Active
